Dataset,Iteration,ST-MMMF_MAE,ST-MMMF_RMSE,SVD_MAE,SVD_RMSE,NMF_MAE,NMF_RMSE,SVD++_MAE,SVD++_RMSE,Co-Clustering_MAE,Co-Clustering_RMSE
1M,31,0.792436922,1.096175565,0.676173004,0.957506701,1.777928302,2.156837977,0.65974812,0.943357881,1.418613758,1.805843914
1M,32,0.792436922,1.096175565,0.676709558,0.957899935,1.753978331,2.134291191,0.660909542,0.944403005,1.210232518,1.56069642
1M,33,0.792436922,1.096175565,0.676286313,0.958072139,1.748087902,2.12920963,0.659589819,0.944120369,1.418602094,1.805848997
1M,34,0.792436922,1.096175565,0.676739551,0.95841121,1.75060404,2.131503677,0.660859553,0.944723166,1.418597095,1.805842081
1M,35,0.792436922,1.096175565,0.677116139,0.959014347,1.76547425,2.14512054,0.661166155,0.945252107,1.41852211,1.805776993
1M,36,0.792438588,1.096179367,0.677126137,0.959300999,1.753390121,2.133876885,0.661576069,0.94590757,1.418493783,1.805787683
1M,37,0.792436922,1.096175565,0.677266107,0.959625767,1.751552174,2.132104257,0.663002436,0.947272688,1.418417132,1.805740588
1M,38,0.792436922,1.096175565,0.677502724,0.959835763,1.741762563,2.123068474,0.661939326,0.94656659,1.418523777,1.805778379
1M,39,0.792436922,1.096175565,0.677507723,0.960296627,1.754009991,2.134957594,0.662942449,0.947529287,1.418410467,1.805731362
1M,40,0.792436922,1.096175565,0.677732676,0.960543844,1.756311175,2.136519865,0.663748946,0.948474759,1.418420465,1.805726745
1M,41,0.792436922,1.096175565,0.67780766,0.96083952,1.749602583,2.131051257,0.663137408,0.947998397,1.41860376,1.805829169
1M,42,0.792436922,1.096175565,0.677910972,0.961039009,1.750818995,2.131693361,0.665015347,0.94944722,1.41849045,1.805783994
1M,43,0.792436922,1.096178607,0.678455858,0.961629214,1.725419329,2.108495977,0.663330701,0.948344372,1.418405468,1.805730892
1M,44,0.792436922,1.096175565,0.678367543,0.961676862,1.75288856,2.133056634,0.663603976,0.948992513,1.418533775,1.805781142
1M,45,0.792436922,1.096175565,0.678415866,0.961941082,1.747068116,2.128963426,0.66339902,0.948886444,1.418535441,1.805785294
1M,46,0.792436922,1.096175565,0.678947421,0.962610349,1.767678787,2.147455922,0.665088665,0.95026552,1.418422131,1.805741964
1M,47,0.792436922,1.096175565,0.67895242,0.96284662,1.756914381,2.136974621,0.665057005,0.950525251,1.418503781,1.805799675
1M,48,0.792436922,1.096175565,0.678795786,0.962825858,1.74141097,2.122889391,0.665115326,0.95056315,1.418435462,1.805739196
1M,49,0.792436922,1.096175565,0.679340672,0.963158959,1.742597388,2.123544205,0.665645215,0.951427766,1.418545439,1.805789902
1M,50,0.792435255,1.096174805,0.679515635,0.96344005,1.757195989,2.137673215,0.66657002,0.952061996,1.418620423,1.805858692
